	trial	rt	condition	n_distractors
0	1	1144.26872747	BB	5
1	1	1553.92377038	BB	10
2	1	2255.6512261	BB	20
3	1	691.034454734	RB	5
4	1	697.088449772	RB	10
5	1	729.389905437	RB	20
6	2	1332.82210387	BB	5
7	2	1402.81340753	BB	10
8	2	2237.59481158	BB	20
9	2	1056.46934528	RB	5
10	2	696.16696383	RB	10
11	2	565.477782016	RB	20
12	3	1195.42519409	BB	5
13	3	1591.81484378	BB	10
14	3	1952.5499235	BB	20
15	3	907.638958778	RB	5
16	3	1006.55609326	RB	10
17	3	717.942659409	RB	20
18	4	924.932439013	BB	5
19	4	1381.11078301	BB	10
20	4	2085.87764622	BB	20
21	4	566.073742973	RB	5
22	4	274.602749168	RB	10
23	4	609.812168152	RB	20
24	5	1394.87447351	BB	5
25	5	1715.3250284	BB	10
26	5	2152.53066057	BB	20
27	5	750.778660173	RB	5
28	5	544.25399038	RB	10
29	5	718.315087757	RB	20
30	6	947.724779579	BB	5
31	6	1630.93357331	BB	10
32	6	2169.09196759	BB	20
33	6	674.750143835	RB	5
34	6	634.674726855	RB	10
35	6	653.955754522	RB	20
36	7	1069.16626068	BB	5
37	7	1674.6941566	BB	10
38	7	2009.35886728	BB	20
39	7	459.805774691	RB	5
40	7	907.782323703	RB	10
41	7	664.524491069	RB	20
42	8	1202.32172915	BB	5
43	8	1472.54115719	BB	10
44	8	2225.0298306	BB	20
45	8	836.041938547	RB	5
46	8	492.152822817	RB	10
47	8	816.889302235	RB	20
48	9	1306.05178727	BB	5
49	9	1521.96768516	BB	10
50	9	2045.59280984	BB	20
51	9	642.035022895	RB	5
52	9	1063.64609687	RB	10
53	9	656.840095733	RB	20
54	10	1405.5355551	BB	5
55	10	1672.01841001	BB	10
56	10	1945.9713476	BB	20
57	10	639.943309745	RB	5
58	10	627.653649517	RB	10
59	10	775.508388955	RB	20
60	11	1283.66547366	BB	5
61	11	1603.72606841	BB	10
62	11	2194.63747309	BB	20
63	11	698.259527257	RB	5
64	11	706.048479727	RB	10
65	11	695.746747571	RB	20
66	12	1145.65213442	BB	5
67	12	1515.48542597	BB	10
68	12	1887.9645078	BB	20
69	12	692.51032851	RB	5
70	12	555.913335037	RB	10
71	12	842.767495111	RB	20
72	13	705.501421937	BB	5
73	13	1337.51524259	BB	10
74	13	2037.60988365	BB	20
75	13	431.359382422	RB	5
76	13	397.384481616	RB	10
77	13	676.330866288	RB	20
78	14	1101.58245244	BB	5
79	14	1745.58464957	BB	10
80	14	2114.95997852	BB	20
81	14	285.387377533	RB	5
82	14	649.968589905	RB	10
83	14	568.231028587	RB	20
84	15	1437.41122414	BB	5
85	15	1786.53249662	BB	10
86	15	1947.31800582	BB	20
87	15	721.632255055	RB	5
88	15	430.700212406	RB	10
89	15	735.279358349	RB	20
90	16	1328.00959573	BB	5
91	16	1582.83565929	BB	10
92	16	2083.63833317	BB	20
93	16	461.0012277	RB	5
94	16	733.330360836	RB	10
95	16	675.96998247	RB	20
96	17	1130.91314975	BB	5
97	17	1710.8518294	BB	10
98	17	2081.1785649	BB	20
99	17	921.630724751	RB	5
100	17	864.165522259	RB	10
101	17	526.093256151	RB	20
102	18	1107.39078605	BB	5
103	18	1683.95204326	BB	10
104	18	1942.14124387	BB	20
105	18	712.243234237	RB	5
106	18	584.261762698	RB	10
107	18	602.911991026	RB	20
108	19	1494.84368619	BB	5
109	19	1431.94258209	BB	10
110	19	2163.32529103	BB	20
111	19	786.341454416	RB	5
112	19	806.615522311	RB	10
113	19	732.85847898	RB	20
114	20	970.584157166	BB	5
115	20	1540.78575633	BB	10
116	20	2096.36626458	BB	20
117	20	570.303539117	RB	5
118	20	724.074426953	RB	10
119	20	816.230126194	RB	20
