	trial	rt	condition	n_distractors
0	1	984.256724512	BB	5
1	1	1469.83369604	BB	10
2	1	1748.71053922	BB	20
3	1	515.658787598	RB	5
4	1	560.791251393	RB	10
5	1	457.341508568	RB	20
6	2	937.588197803	BB	5
7	2	989.534346421	BB	10
8	2	1804.17122451	BB	20
9	2	372.831863188	RB	5
10	2	288.956897839	RB	10
11	2	484.340782808	RB	20
12	3	946.429638902	BB	5
13	3	1318.40198834	BB	10
14	3	2027.72989888	BB	20
15	3	143.204770762	RB	5
16	3	500.06611321	RB	10
17	3	303.484741965	RB	20
18	4	960.485257391	BB	5
19	4	1177.30484288	BB	10
20	4	1862.45444743	BB	20
21	4	450.699855478	RB	5
22	4	412.635686154	RB	10
23	4	570.242563008	RB	20
24	5	850.620663624	BB	5
25	5	1588.28260427	BB	10
26	5	1868.52953754	BB	20
27	5	235.52052642	RB	5
28	5	513.091369597	RB	10
29	5	355.568707554	RB	20
30	6	979.361697781	BB	5
31	6	1388.82765835	BB	10
32	6	1958.83958198	BB	20
33	6	453.845461275	RB	5
34	6	390.427629053	RB	10
35	6	509.465942302	RB	20
36	7	710.381096767	BB	5
37	7	1339.35350534	BB	10
38	7	1801.33659163	BB	20
39	7	663.324457235	RB	5
40	7	481.265982683	RB	10
41	7	395.59341315	RB	20
42	8	882.261496869	BB	5
43	8	1512.709746	BB	10
44	8	1835.42490336	BB	20
45	8	277.743066796	RB	5
46	8	370.41935947	RB	10
47	8	391.032084711	RB	20
48	9	961.327955811	BB	5
49	9	1435.22776282	BB	10
50	9	1895.56228666	BB	20
51	9	446.47827784	RB	5
52	9	570.427377313	RB	10
53	9	242.128479581	RB	20
54	10	1006.81609257	BB	5
55	10	1369.73912071	BB	10
56	10	1936.63618963	BB	20
57	10	266.590026727	RB	5
58	10	511.847540843	RB	10
59	10	361.512479968	RB	20
60	11	1128.96364256	BB	5
61	11	1357.13209275	BB	10
62	11	1787.56205651	BB	20
63	11	369.729009776	RB	5
64	11	353.317824156	RB	10
65	11	200.741868866	RB	20
66	12	711.97436903	BB	5
67	12	1406.16686211	BB	10
68	12	1981.69298681	BB	20
69	12	468.102166703	RB	5
70	12	408.439145602	RB	10
71	12	346.779730001	RB	20
72	13	1039.33403951	BB	5
73	13	1220.9946075	BB	10
74	13	1997.25716233	BB	20
75	13	332.538812272	RB	5
76	13	381.947065505	RB	10
77	13	549.047171165	RB	20
78	14	975.25683474	BB	5
79	14	1529.07139156	BB	10
80	14	1769.05054576	BB	20
81	14	288.401132798	RB	5
82	14	501.063330973	RB	10
83	14	351.492485357	RB	20
84	15	943.601896209	BB	5
85	15	1394.48778024	BB	10
86	15	1705.76763632	BB	20
87	15	554.626980773	RB	5
88	15	337.593633499	RB	10
89	15	481.028931761	RB	20
90	16	872.025142081	BB	5
91	16	1192.44379671	BB	10
92	16	1663.51459765	BB	20
93	16	534.235211626	RB	5
94	16	356.084490741	RB	10
95	16	438.550188759	RB	20
96	17	973.421330552	BB	5
97	17	1024.10666022	BB	10
98	17	1879.22903973	BB	20
99	17	337.155570412	RB	5
100	17	359.91219806	RB	10
101	17	78.2040345528	RB	20
102	18	1011.56408659	BB	5
103	18	1343.35360063	BB	10
104	18	1784.8930443	BB	20
105	18	294.364142896	RB	5
106	18	348.21535871	RB	10
107	18	480.026704313	RB	20
108	19	801.643253738	BB	5
109	19	1504.91865413	BB	10
110	19	1694.74942182	BB	20
111	19	325.157456754	RB	5
112	19	185.642755895	RB	10
113	19	582.123656465	RB	20
114	20	906.696236551	BB	5
115	20	1370.66084367	BB	10
116	20	1829.7637509	BB	20
117	20	455.412468886	RB	5
118	20	419.94900128	RB	10
119	20	421.977887038	RB	20
