	trial	rt	condition	n_distractors
0	1	1151.87201838	BB	5
1	1	1456.68690651	BB	10
2	1	2461.88807559	BB	20
3	1	355.620472714	RB	5
4	1	653.188320253	RB	10
5	1	273.702308129	RB	20
6	2	1316.88072515	BB	5
7	2	1217.46424219	BB	10
8	2	1871.15588793	BB	20
9	2	236.583571023	RB	5
10	2	571.455999113	RB	10
11	2	631.65238497	RB	20
12	3	1248.41048628	BB	5
13	3	1726.17502371	BB	10
14	3	1712.6915185	BB	20
15	3	635.655449211	RB	5
16	3	775.91933262	RB	10
17	3	497.756440613	RB	20
18	4	449.356552562	BB	5
19	4	1576.02350145	BB	10
20	4	1627.06357301	BB	20
21	4	603.02260659	RB	5
22	4	226.261242312	RB	10
23	4	167.091711024	RB	20
24	5	1188.38423076	BB	5
25	5	1506.74539766	BB	10
26	5	2395.66407984	BB	20
27	5	533.17363404	RB	5
28	5	317.071791637	RB	10
29	5	652.354475393	RB	20
30	6	660.736327973	BB	5
31	6	1331.26155025	BB	10
32	6	2263.38429509	BB	20
33	6	446.492923828	RB	5
34	6	317.837253012	RB	10
35	6	535.414965788	RB	20
36	7	923.857834792	BB	5
37	7	1233.11525923	BB	10
38	7	1740.81434112	BB	20
39	7	204.529217347	RB	5
40	7	301.35749242	RB	10
41	7	1013.68783636	RB	20
42	8	977.559690414	BB	5
43	8	1040.00333795	BB	10
44	8	2343.58739818	BB	20
45	8	118.749325911	RB	5
46	8	530.215744397	RB	10
47	8	236.027398032	RB	20
48	9	663.537393986	BB	5
49	9	1519.50103139	BB	10
50	9	1815.59293995	BB	20
51	9	652.082891925	RB	5
52	9	135.234868724	RB	10
53	9	224.0235993	RB	20
54	10	942.108665629	BB	5
55	10	1229.79679771	BB	10
56	10	1885.95307829	BB	20
57	10	745.816477656	RB	5
58	10	461.718901679	RB	10
59	10	777.277100735	RB	20
60	11	914.39211165	BB	5
61	11	1223.96541208	BB	10
62	11	1793.58679983	BB	20
63	11	270.453194013	RB	5
64	11	141.750266444	RB	10
65	11	655.981917295	RB	20
66	12	855.365607918	BB	5
67	12	1074.09270337	BB	10
68	12	1697.26369648	BB	20
69	12	102.86352062	RB	5
70	12	749.020039032	RB	10
71	12	679.745259581	RB	20
72	13	713.147514959	BB	5
73	13	1174.43833387	BB	10
74	13	2200.28245913	BB	20
75	13	360.298412322	RB	5
76	13	365.479385315	RB	10
77	13	574.167567938	RB	20
78	14	906.149738659	BB	5
79	14	1911.31810528	BB	10
80	14	1398.18777746	BB	20
81	14	308.33812189	RB	5
82	14	186.412566522	RB	10
83	14	116.396619703	RB	20
84	15	828.8818212	BB	5
85	15	1279.63056199	BB	10
86	15	1598.8885305	BB	20
87	15	382.424539245	RB	5
88	15	266.24522583	RB	10
89	15	702.933718035	RB	20
90	16	405.2437786	BB	5
91	16	1037.20891197	BB	10
92	16	2095.74205166	BB	20
93	16	326.132244639	RB	5
94	16	621.196470331	RB	10
95	16	64.7460886778	RB	20
96	17	973.229073493	BB	5
97	17	1006.01712389	BB	10
98	17	1932.35716214	BB	20
99	17	437.64545481	RB	5
100	17	158.095460346	RB	10
101	17	535.141487038	RB	20
102	18	1492.47540209	BB	5
103	18	1111.42329976	BB	10
104	18	1737.59898519	BB	20
105	18	192.692912911	RB	5
106	18	376.336456328	RB	10
107	18	552.164025682	RB	20
108	19	699.485992909	BB	5
109	19	1152.50632884	BB	10
110	19	2138.81982503	BB	20
111	19	599.479362532	RB	5
112	19	661.328856872	RB	10
113	19	720.619612684	RB	20
114	20	1361.22195545	BB	5
115	20	1367.38711662	BB	10
116	20	1872.72859108	BB	20
117	20	718.399035274	RB	5
118	20	132.129844447	RB	10
119	20	261.459717565	RB	20
