	trial	rt	condition	n_distractors
0	1	948.688761004	BB	5
1	1	1305.34213368	BB	10
2	1	1834.72518279	BB	20
3	1	913.845793488	RB	5
4	1	136.142082692	RB	10
5	1	685.164073873	RB	20
6	2	1038.06141232	BB	5
7	2	1023.86270519	BB	10
8	2	2092.28665257	BB	20
9	2	59.204399961	RB	5
10	2	268.034258196	RB	10
11	2	843.597196662	RB	20
12	3	789.843252103	BB	5
13	3	1182.66035496	BB	10
14	3	1698.34311866	BB	20
15	3	333.468887764	RB	5
16	3	385.0160512	RB	10
17	3	397.013785287	RB	20
18	4	962.788313446	BB	5
19	4	1153.22357183	BB	10
20	4	1926.56370391	BB	20
21	4	138.762819812	RB	5
22	4	331.125521225	RB	10
23	4	430.669795557	RB	20
24	5	560.42996359	BB	5
25	5	1139.54263404	BB	10
26	5	1121.59430342	BB	20
27	5	230.403667807	RB	5
28	5	353.23497394	RB	10
29	5	541.364048959	RB	20
30	6	590.375268639	BB	5
31	6	1375.18626566	BB	10
32	6	2021.41973369	BB	20
33	6	597.996787063	RB	5
34	6	968.190687419	RB	10
35	6	243.687092302	RB	20
36	7	1108.34903933	BB	5
37	7	1796.36119275	BB	10
38	7	953.693159615	BB	20
39	7	464.772728882	RB	5
40	7	161.830831495	RB	10
41	7	283.544779635	RB	20
42	8	1184.57075585	BB	5
43	8	1243.53070029	BB	10
44	8	2257.44657551	BB	20
45	8	134.551014978	RB	5
46	8	559.977790647	RB	10
47	8	584.835057511	RB	20
48	9	791.43648895	BB	5
49	9	1347.6537471	BB	10
50	9	2533.82232396	BB	20
51	9	940.284387793	RB	5
52	9	18.0702837304	RB	10
53	9	666.289795681	RB	20
54	10	1972.67406863	BB	5
55	10	1286.94652255	BB	10
56	10	1526.47608083	BB	20
57	10	166.107521482	RB	5
58	10	312.300764418	RB	10
59	10	264.993592774	RB	20
60	11	917.247631528	BB	5
61	11	1409.15949928	BB	10
62	11	1551.17088697	BB	20
63	11	479.131828626	RB	5
64	11	188.368066726	RB	10
65	11	108.936009743	RB	20
66	12	539.456395584	BB	5
67	12	1329.1473814	BB	10
68	12	1876.05704827	BB	20
69	12	1.0652974794	RB	5
70	12	481.901971714	RB	10
71	12	47.4635681443	RB	20
72	13	1647.66830086	BB	5
73	13	1420.97518366	BB	10
74	13	1064.67490436	BB	20
75	13	639.680901363	RB	5
76	13	431.311713316	RB	10
77	13	437.86827825	RB	20
78	14	852.76425627	BB	5
79	14	1207.26075331	BB	10
80	14	2274.89307038	BB	20
81	14	602.10886729	RB	5
82	14	151.393173346	RB	10
83	14	457.015605034	RB	20
84	15	713.889079489	BB	5
85	15	1422.88017642	BB	10
86	15	1904.91443389	BB	20
87	15	93.6127693092	RB	5
88	15	740.713324789	RB	10
89	15	201.763809865	RB	20
90	16	770.858373471	BB	5
91	16	668.436256914	BB	10
92	16	1741.36179189	BB	20
93	16	154.758957452	RB	5
94	16	172.190019133	RB	10
95	16	528.439671487	RB	20
96	17	1049.34130002	BB	5
97	17	1440.62887458	BB	10
98	17	2273.61776898	BB	20
99	17	123.850515498	RB	5
100	17	73.060473815	RB	10
101	17	438.25484577	RB	20
102	18	657.175539788	BB	5
103	18	1608.29434061	BB	10
104	18	2402.78504915	BB	20
105	18	556.531577275	RB	5
106	18	1106.58901677	RB	10
107	18	647.680638235	RB	20
108	19	956.088655238	BB	5
109	19	1011.73247736	BB	10
110	19	1869.99612771	BB	20
111	19	19.2489333368	RB	5
112	19	1178.84953883	RB	10
113	19	821.750083117	RB	20
114	20	7.06274301454	BB	5
115	20	1609.37188558	BB	10
116	20	1800.00603492	BB	20
117	20	425.896367856	RB	5
118	20	767.901690387	RB	10
119	20	1118.75060628	RB	20
