	trial	rt	condition	n_distractors
0	1	1612.95421028	BB	5
1	1	1664.35276212	BB	10
2	1	2578.28045746	BB	20
3	1	1101.18169801	RB	5
4	1	1130.33639624	RB	10
5	1	535.705296843	RB	20
6	2	962.06056843	BB	5
7	2	1709.87827733	BB	10
8	2	1963.73305831	BB	20
9	2	640.195230523	RB	5
10	2	698.95251802	RB	10
11	2	1100.02180548	RB	20
12	3	1498.36187018	BB	5
13	3	1662.97552579	BB	10
14	3	2339.41355537	BB	20
15	3	1250.40342271	RB	5
16	3	1123.29665531	RB	10
17	3	885.463760328	RB	20
18	4	1736.95074079	BB	5
19	4	1838.76072884	BB	10
20	4	2637.98327045	BB	20
21	4	1018.94630451	RB	5
22	4	1061.03727153	RB	10
23	4	630.746937278	RB	20
24	5	1326.9861102	BB	5
25	5	1986.52282273	BB	10
26	5	2105.396456	BB	20
27	5	1055.37942409	RB	5
28	5	1242.18492315	RB	10
29	5	769.482390533	RB	20
30	6	1468.08753756	BB	5
31	6	1806.0668987	BB	10
32	6	2394.83909088	BB	20
33	6	1445.27271512	RB	5
34	6	1265.66187026	RB	10
35	6	1070.25756576	RB	20
36	7	1669.56668893	BB	5
37	7	1694.14538782	BB	10
38	7	2364.56813275	BB	20
39	7	1361.8096457	RB	5
40	7	813.560575641	RB	10
41	7	970.296818628	RB	20
42	8	1835.00737391	BB	5
43	8	1504.76151678	BB	10
44	8	2424.72297953	BB	20
45	8	824.01054879	RB	5
46	8	493.975330667	RB	10
47	8	1240.06952284	RB	20
48	9	1223.20129852	BB	5
49	9	1834.1333792	BB	10
50	9	2279.94959103	BB	20
51	9	1206.63201203	RB	5
52	9	1228.06426912	RB	10
53	9	895.601157941	RB	20
54	10	1164.51498021	BB	5
55	10	2007.09025865	BB	10
56	10	2398.53038319	BB	20
57	10	1018.20056945	RB	5
58	10	803.256037114	RB	10
59	10	309.183212417	RB	20
60	11	1694.37912709	BB	5
61	11	2268.69525448	BB	10
62	11	2305.19598573	BB	20
63	11	866.731229787	RB	5
64	11	1184.32081152	RB	10
65	11	1225.808957	RB	20
66	12	1350.99753952	BB	5
67	12	1848.44779505	BB	10
68	12	2270.02529579	BB	20
69	12	1181.20957622	RB	5
70	12	1114.98874871	RB	10
71	12	1108.19846928	RB	20
72	13	1189.27399377	BB	5
73	13	1461.97906691	BB	10
74	13	2368.97121585	BB	20
75	13	1177.20279918	RB	5
76	13	1287.45324207	RB	10
77	13	579.257253668	RB	20
78	14	1048.51884053	BB	5
79	14	1744.0814503	BB	10
80	14	2253.37104544	BB	20
81	14	987.259108215	RB	5
82	14	1032.48672585	RB	10
83	14	1011.99081008	RB	20
84	15	1545.59214806	BB	5
85	15	1866.77340305	BB	10
86	15	2120.18210315	BB	20
87	15	878.698070406	RB	5
88	15	735.173219196	RB	10
89	15	1067.04276298	RB	20
90	16	1615.46584742	BB	5
91	16	1491.6264953	BB	10
92	16	2288.0942156	BB	20
93	16	716.32701645	RB	5
94	16	1250.40565567	RB	10
95	16	1076.97238407	RB	20
96	17	1608.04754258	BB	5
97	17	1862.32848735	BB	10
98	17	2198.89995078	BB	20
99	17	656.643175807	RB	5
100	17	654.617886751	RB	10
101	17	737.474533159	RB	20
102	18	1135.80276297	BB	5
103	18	1330.38649968	BB	10
104	18	2218.12332637	BB	20
105	18	728.508797373	RB	5
106	18	1091.82246615	RB	10
107	18	1303.56519369	RB	20
108	19	1468.95719834	BB	5
109	19	1837.38980881	BB	10
110	19	2242.97923823	BB	20
111	19	1007.42830916	RB	5
112	19	1131.13685931	RB	10
113	19	831.666200275	RB	20
114	20	1310.6746406	BB	5
115	20	1947.92629065	BB	10
116	20	2570.92661709	BB	20
117	20	716.01605578	RB	5
118	20	875.10078641	RB	10
119	20	862.511390899	RB	20
