	trial	rt	condition	n_distractors
0	1	1222.03170503	BB	5
1	1	1740.63361578	BB	10
2	1	2162.45912999	BB	20
3	1	796.704927741	RB	5
4	1	865.112142327	RB	10
5	1	813.776687335	RB	20
6	2	1028.1828346	BB	5
7	2	1659.17056554	BB	10
8	2	2144.09526742	BB	20
9	2	753.071115781	RB	5
10	2	720.572917931	RB	10
11	2	693.679415918	RB	20
12	3	1224.71338473	BB	5
13	3	1603.91315372	BB	10
14	3	2264.79855764	BB	20
15	3	828.452991468	RB	5
16	3	782.94530219	RB	10
17	3	574.569733848	RB	20
18	4	1164.1502529	BB	5
19	4	1575.90104854	BB	10
20	4	2027.19322901	BB	20
21	4	671.301153038	RB	5
22	4	866.993280962	RB	10
23	4	913.380583295	RB	20
24	5	1258.13826033	BB	5
25	5	1358.55827593	BB	10
26	5	2204.90786356	BB	20
27	5	899.086240295	RB	5
28	5	825.045421302	RB	10
29	5	497.459441105	RB	20
30	6	1322.81619125	BB	5
31	6	1572.29489072	BB	10
32	6	2248.58764769	BB	20
33	6	695.867169165	RB	5
34	6	852.656004299	RB	10
35	6	838.810177958	RB	20
36	7	1293.11374084	BB	5
37	7	1540.48188315	BB	10
38	7	1971.32169934	BB	20
39	7	910.390823064	RB	5
40	7	662.727885202	RB	10
41	7	610.916644976	RB	20
42	8	1163.67593689	BB	5
43	8	1419.14599578	BB	10
44	8	2261.97818605	BB	20
45	8	615.383222445	RB	5
46	8	849.117895383	RB	10
47	8	831.823639894	RB	20
48	9	1106.6194285	BB	5
49	9	1540.77805074	BB	10
50	9	2098.79453255	BB	20
51	9	564.939270571	RB	5
52	9	649.500167164	RB	10
53	9	792.666558935	RB	20
54	10	1024.66371515	BB	5
55	10	1707.72347645	BB	10
56	10	2026.18946459	BB	20
57	10	794.322193732	RB	5
58	10	707.223786956	RB	10
59	10	659.275341308	RB	20
60	11	1162.2273072	BB	5
61	11	1515.50744677	BB	10
62	11	1987.58552979	BB	20
63	11	762.750884242	RB	5
64	11	658.654968749	RB	10
65	11	599.394722811	RB	20
66	12	1124.47763018	BB	5
67	12	1689.23317217	BB	10
68	12	2170.28433869	BB	20
69	12	781.867460789	RB	5
70	12	909.30144634	RB	10
71	12	781.125953732	RB	20
72	13	1133.0662752	BB	5
73	13	1711.53058462	BB	10
74	13	2072.42196961	BB	20
75	13	725.000080449	RB	5
76	13	903.669389674	RB	10
77	13	638.873216097	RB	20
78	14	1248.69160802	BB	5
79	14	1384.87558872	BB	10
80	14	2084.87875242	BB	20
81	14	878.215242974	RB	5
82	14	845.827226641	RB	10
83	14	742.028298524	RB	20
84	15	1420.38718514	BB	5
85	15	1253.41619963	BB	10
86	15	2025.64110557	BB	20
87	15	568.579206949	RB	5
88	15	705.974439755	RB	10
89	15	929.917641365	RB	20
90	16	1359.96288953	BB	5
91	16	1453.1552191	BB	10
92	16	2088.73382815	BB	20
93	16	397.744763323	RB	5
94	16	707.364936936	RB	10
95	16	584.137688301	RB	20
96	17	1455.16697913	BB	5
97	17	1728.84226129	BB	10
98	17	1917.59321383	BB	20
99	17	708.271680795	RB	5
100	17	644.788234961	RB	10
101	17	696.352010663	RB	20
102	18	1516.18168832	BB	5
103	18	1530.60437966	BB	10
104	18	1974.58999876	BB	20
105	18	601.978629393	RB	5
106	18	757.83683601	RB	10
107	18	618.272197476	RB	20
108	19	1246.60116195	BB	5
109	19	1630.91708058	BB	10
110	19	2131.02292489	BB	20
111	19	713.128037723	RB	5
112	19	719.264025669	RB	10
113	19	883.771430931	RB	20
114	20	1384.23037001	BB	5
115	20	1891.9312605	BB	10
116	20	1953.44153764	BB	20
117	20	1088.15914801	RB	5
118	20	935.080894782	RB	10
119	20	650.347437634	RB	20
