	trial	rt	condition	n_distractors
0	1	1042.29830461	BB	5
1	1	1960.94662509	BB	10
2	1	2573.30214312	BB	20
3	1	985.7645034	RB	5
4	1	605.947202465	RB	10
5	1	894.170324843	RB	20
6	2	730.149752633	BB	5
7	2	1607.72108318	BB	10
8	2	2137.12496125	BB	20
9	2	967.220848725	RB	5
10	2	755.205650788	RB	10
11	2	1266.64117231	RB	20
12	3	1522.01034361	BB	5
13	3	1162.31471698	BB	10
14	3	2367.32730334	BB	20
15	3	1006.0288378	RB	5
16	3	993.828415032	RB	10
17	3	629.988209183	RB	20
18	4	1332.74481884	BB	5
19	4	2188.26825031	BB	10
20	4	1927.18719303	BB	20
21	4	531.646895915	RB	5
22	4	526.878999147	RB	10
23	4	726.513341801	RB	20
24	5	1578.01268755	BB	5
25	5	1924.7230555	BB	10
26	5	2151.23329493	BB	20
27	5	411.770531711	RB	5
28	5	1213.78734946	RB	10
29	5	677.313427141	RB	20
30	6	979.88476099	BB	5
31	6	1880.4215619	BB	10
32	6	2114.76184762	BB	20
33	6	492.918142495	RB	5
34	6	986.697576458	RB	10
35	6	513.800838095	RB	20
36	7	1543.3612948	BB	5
37	7	2493.32487044	BB	10
38	7	2263.59271962	BB	20
39	7	1062.85771595	RB	5
40	7	1159.12144076	RB	10
41	7	496.81251181	RB	20
42	8	1788.37307176	BB	5
43	8	1459.46870322	BB	10
44	8	2389.99973765	BB	20
45	8	1212.53223565	RB	5
46	8	840.033628057	RB	10
47	8	1362.65413609	RB	20
48	9	1209.62775892	BB	5
49	9	1391.27513569	BB	10
50	9	1347.22451956	BB	20
51	9	751.985315696	RB	5
52	9	615.90237743	RB	10
53	9	707.696797168	RB	20
54	10	1939.28039976	BB	5
55	10	1507.69138532	BB	10
56	10	2501.57496367	BB	20
57	10	880.513705554	RB	5
58	10	991.691501563	RB	10
59	10	914.782609305	RB	20
60	11	1547.5858672	BB	5
61	11	1718.97206751	BB	10
62	11	2015.63734014	BB	20
63	11	684.191010708	RB	5
64	11	363.551592257	RB	10
65	11	961.402653625	RB	20
66	12	1934.02883839	BB	5
67	12	1828.03752991	BB	10
68	12	1471.77785204	BB	20
69	12	675.392189247	RB	5
70	12	953.316015871	RB	10
71	12	1837.01614168	RB	20
72	13	1790.41879167	BB	5
73	13	2010.5110686	BB	10
74	13	2306.78948789	BB	20
75	13	786.594405843	RB	5
76	13	988.178438941	RB	10
77	13	502.855169834	RB	20
78	14	1912.35805447	BB	5
79	14	1760.16494027	BB	10
80	14	1731.02728346	BB	20
81	14	756.459118309	RB	5
82	14	1317.78396815	RB	10
83	14	406.498283652	RB	20
84	15	520.413745429	BB	5
85	15	1605.44975998	BB	10
86	15	2364.57796495	BB	20
87	15	597.654645778	RB	5
88	15	770.936107768	RB	10
89	15	344.143527908	RB	20
90	16	1199.35667983	BB	5
91	16	1803.7832197	BB	10
92	16	1866.02013234	BB	20
93	16	851.629557294	RB	5
94	16	1010.85275739	RB	10
95	16	888.996099185	RB	20
96	17	1390.32748328	BB	5
97	17	1546.75388349	BB	10
98	17	1888.65383693	BB	20
99	17	682.21624272	RB	5
100	17	671.860212115	RB	10
101	17	1141.55866178	RB	20
102	18	1750.06496337	BB	5
103	18	1875.04359926	BB	10
104	18	2382.64454385	BB	20
105	18	743.893545639	RB	5
106	18	590.999433838	RB	10
107	18	498.394233724	RB	20
108	19	1471.9002069	BB	5
109	19	1711.98701543	BB	10
110	19	2518.72738019	BB	20
111	19	557.203509963	RB	5
112	19	917.581505181	RB	10
113	19	643.161298737	RB	20
114	20	1160.24573278	BB	5
115	20	1523.21590049	BB	10
116	20	2004.48111046	BB	20
117	20	516.356100052	RB	5
118	20	452.144480058	RB	10
119	20	545.963523857	RB	20
