	trial	rt	condition	n_distractors
0	1	1448.17884872	BB	5
1	1	1619.55381178	BB	10
2	1	1821.57912844	BB	20
3	1	821.600421362	RB	5
4	1	1160.73415428	RB	10
5	1	569.065739362	RB	20
6	2	1298.37741143	BB	5
7	2	1400.28865121	BB	10
8	2	1560.78685495	BB	20
9	2	989.280325851	RB	5
10	2	581.524857886	RB	10
11	2	623.628130713	RB	20
12	3	1214.29429915	BB	5
13	3	2225.8915998	BB	10
14	3	1691.86180715	BB	20
15	3	774.848833507	RB	5
16	3	481.771959737	RB	10
17	3	301.873356849	RB	20
18	4	1107.46728831	BB	5
19	4	2531.8856433	BB	10
20	4	1903.82448701	BB	20
21	4	585.702079663	RB	5
22	4	433.971532646	RB	10
23	4	932.727225481	RB	20
24	5	700.558692652	BB	5
25	5	1775.17960335	BB	10
26	5	1886.38087313	BB	20
27	5	902.347216767	RB	5
28	5	615.989142713	RB	10
29	5	467.282838619	RB	20
30	6	1414.71536987	BB	5
31	6	972.315871809	BB	10
32	6	1850.07913072	BB	20
33	6	669.975894574	RB	5
34	6	642.761858255	RB	10
35	6	701.805394816	RB	20
36	7	1109.94806488	BB	5
37	7	2418.20480814	BB	10
38	7	1929.26007305	BB	20
39	7	810.78122238	RB	5
40	7	1212.9743891	RB	10
41	7	39.95404507	RB	20
42	8	877.023036436	BB	5
43	8	1443.35583473	BB	10
44	8	2262.3416306	BB	20
45	8	199.261683	RB	5
46	8	951.1278634	RB	10
47	8	373.715547106	RB	20
48	9	1380.56170115	BB	5
49	9	1677.62914726	BB	10
50	9	2227.84698547	BB	20
51	9	589.033097526	RB	5
52	9	671.968618801	RB	10
53	9	1272.16587561	RB	20
54	10	1159.8187552	BB	5
55	10	2060.00557516	BB	10
56	10	1882.20942027	BB	20
57	10	467.923822873	RB	5
58	10	167.5251314	RB	10
59	10	856.355879306	RB	20
60	11	1397.37449709	BB	5
61	11	1753.85438286	BB	10
62	11	2758.05973613	BB	20
63	11	546.983550583	RB	5
64	11	794.829284611	RB	10
65	11	997.407962164	RB	20
66	12	920.612023567	BB	5
67	12	1555.40492003	BB	10
68	12	2315.80140887	BB	20
69	12	508.698333458	RB	5
70	12	774.78360665	RB	10
71	12	683.283437091	RB	20
72	13	1275.91448459	BB	5
73	13	2082.29912804	BB	10
74	13	2179.70212793	BB	20
75	13	199.161466653	RB	5
76	13	745.948619561	RB	10
77	13	722.767888981	RB	20
78	14	1293.49534975	BB	5
79	14	1213.03468026	BB	10
80	14	2219.72174205	BB	20
81	14	1064.82860104	RB	5
82	14	1067.0339146	RB	10
83	14	630.520817516	RB	20
84	15	1004.00772741	BB	5
85	15	1623.51226729	BB	10
86	15	2078.6387582	BB	20
87	15	511.539332754	RB	5
88	15	183.84860693	RB	10
89	15	537.989107199	RB	20
90	16	677.608609751	BB	5
91	16	1482.29576188	BB	10
92	16	2214.89059529	BB	20
93	16	832.421951508	RB	5
94	16	1008.79904514	RB	10
95	16	702.968552462	RB	20
96	17	1574.01855492	BB	5
97	17	1486.74701719	BB	10
98	17	2707.16537267	BB	20
99	17	667.993527275	RB	5
100	17	562.47647099	RB	10
101	17	794.212679052	RB	20
102	18	1040.78435921	BB	5
103	18	1601.15878767	BB	10
104	18	2430.7509559	BB	20
105	18	561.03724392	RB	5
106	18	729.697427498	RB	10
107	18	479.883329308	RB	20
108	19	1307.65952994	BB	5
109	19	1602.42896098	BB	10
110	19	2217.57424658	BB	20
111	19	1098.81993369	RB	5
112	19	780.243223624	RB	10
113	19	1019.97088654	RB	20
114	20	1455.70963372	BB	5
115	20	1631.333838	BB	10
116	20	2204.8778106	BB	20
117	20	395.029258457	RB	5
118	20	1115.12365756	RB	10
119	20	596.663518353	RB	20
