	trial	rt	condition	n_distractors
0	1	1263.68701361	BB	5
1	1	1897.12768445	BB	10
2	1	2132.67568127	BB	20
3	1	774.938348133	RB	5
4	1	967.030592189	RB	10
5	1	1058.63346989	RB	20
6	2	1266.7548671	BB	5
7	2	1988.1163655	BB	10
8	2	2254.85053163	BB	20
9	2	835.284556061	RB	5
10	2	887.183613112	RB	10
11	2	793.130440548	RB	20
12	3	1293.41066338	BB	5
13	3	1877.31830648	BB	10
14	3	2239.5133068	BB	20
15	3	760.827511876	RB	5
16	3	1043.90212376	RB	10
17	3	802.273475686	RB	20
18	4	1383.00320074	BB	5
19	4	2196.14038857	BB	10
20	4	2395.20812017	BB	20
21	4	588.604590699	RB	5
22	4	842.278823936	RB	10
23	4	812.441276582	RB	20
24	5	1440.48660775	BB	5
25	5	2211.73353333	BB	10
26	5	2144.86563075	BB	20
27	5	953.764906917	RB	5
28	5	1114.77183771	RB	10
29	5	732.215337972	RB	20
30	6	1145.40138326	BB	5
31	6	1894.67019081	BB	10
32	6	2472.45097346	BB	20
33	6	1107.46807311	RB	5
34	6	505.032310124	RB	10
35	6	902.475601193	RB	20
36	7	1297.98139991	BB	5
37	7	1605.58303188	BB	10
38	7	2406.84187623	BB	20
39	7	876.314797126	RB	5
40	7	1035.31947915	RB	10
41	7	1235.17113953	RB	20
42	8	1274.78478428	BB	5
43	8	1798.74607203	BB	10
44	8	2069.00820137	BB	20
45	8	731.720338387	RB	5
46	8	1047.3560688	RB	10
47	8	744.734242096	RB	20
48	9	1684.24152581	BB	5
49	9	1815.42776773	BB	10
50	9	2422.34346142	BB	20
51	9	965.374807031	RB	5
52	9	1259.64215061	RB	10
53	9	1056.13393467	RB	20
54	10	1562.5130429	BB	5
55	10	1606.73628013	BB	10
56	10	2186.5888921	BB	20
57	10	482.766707556	RB	5
58	10	996.254738365	RB	10
59	10	941.394083361	RB	20
60	11	1553.01379114	BB	5
61	11	1727.86055798	BB	10
62	11	2471.32811491	BB	20
63	11	698.456744915	RB	5
64	11	894.168842324	RB	10
65	11	923.536235376	RB	20
66	12	1528.54035663	BB	5
67	12	1645.37055517	BB	10
68	12	2257.03824802	BB	20
69	12	1047.99165471	RB	5
70	12	588.098995243	RB	10
71	12	672.552208085	RB	20
72	13	1473.18145223	BB	5
73	13	1763.63752781	BB	10
74	13	2396.41326608	BB	20
75	13	824.070091786	RB	5
76	13	863.028320682	RB	10
77	13	822.526025758	RB	20
78	14	1260.59336832	BB	5
79	14	1552.20207124	BB	10
80	14	2314.00647231	BB	20
81	14	935.521863259	RB	5
82	14	922.186818352	RB	10
83	14	1225.88840886	RB	20
84	15	1178.71817733	BB	5
85	15	1995.84650992	BB	10
86	15	2224.96999363	BB	20
87	15	721.642755195	RB	5
88	15	1105.49554345	RB	10
89	15	609.699092014	RB	20
90	16	1549.89209668	BB	5
91	16	1788.84159473	BB	10
92	16	2243.99406372	BB	20
93	16	849.391300041	RB	5
94	16	945.962743157	RB	10
95	16	996.168512849	RB	20
96	17	1445.30209645	BB	5
97	17	1695.67875741	BB	10
98	17	2511.66819963	BB	20
99	17	996.637472189	RB	5
100	17	756.082289323	RB	10
101	17	1071.89836051	RB	20
102	18	1649.08111219	BB	5
103	18	1916.61776641	BB	10
104	18	2205.30283261	BB	20
105	18	829.028681494	RB	5
106	18	965.314694783	RB	10
107	18	990.683855026	RB	20
108	19	1441.17787781	BB	5
109	19	1990.71077121	BB	10
110	19	2223.6173555	BB	20
111	19	781.30932801	RB	5
112	19	593.677229883	RB	10
113	19	1118.44691629	RB	20
114	20	1453.32343233	BB	5
115	20	2035.9263046	BB	10
116	20	2540.29877191	BB	20
117	20	1013.79147949	RB	5
118	20	700.794227082	RB	10
119	20	983.44972215	RB	20
