	trial	rt	condition	n_distractors
0	1	1109.4998475	BB	5
1	1	1396.63566083	BB	10
2	1	1533.70249025	BB	20
3	1	401.168661136	RB	5
4	1	671.902957883	RB	10
5	1	852.002194054	RB	20
6	2	964.716359914	BB	5
7	2	1573.95709125	BB	10
8	2	1514.67466734	BB	20
9	2	346.144584145	RB	5
10	2	770.347554483	RB	10
11	2	3.83183052623	RB	20
12	3	778.799115526	BB	5
13	3	865.394335971	BB	10
14	3	1584.02762764	BB	20
15	3	456.400582965	RB	5
16	3	285.323333752	RB	10
17	3	1384.37906364	RB	20
18	4	545.960008143	BB	5
19	4	1620.88924807	BB	10
20	4	1687.42248944	BB	20
21	4	492.928011046	RB	5
22	4	35.4060355393	RB	10
23	4	145.029492472	RB	20
24	5	870.281700465	BB	5
25	5	1365.43060918	BB	10
26	5	1948.19162833	BB	20
27	5	1012.0273567	RB	5
28	5	86.5881971752	RB	10
29	5	587.274386605	RB	20
30	6	1227.8067126	BB	5
31	6	783.44414728	BB	10
32	6	1604.93551228	BB	20
33	6	937.860018761	RB	5
34	6	461.090295683	RB	10
35	6	572.8954352	RB	20
36	7	1333.33577669	BB	5
37	7	1664.14196126	BB	10
38	7	1861.44039709	BB	20
39	7	164.328087071	RB	5
40	7	5.27133860531	RB	10
41	7	688.167524285	RB	20
42	8	1126.99620742	BB	5
43	8	1404.57657623	BB	10
44	8	2854.40016564	BB	20
45	8	669.06122581	RB	5
46	8	1070.46254364	RB	10
47	8	312.897065746	RB	20
48	9	897.979830526	BB	5
49	9	1617.84561908	BB	10
50	9	1916.67633995	BB	20
51	9	394.903577124	RB	5
52	9	718.49293213	RB	10
53	9	347.010035047	RB	20
54	10	714.554974576	BB	5
55	10	1227.27534453	BB	10
56	10	2648.33103991	BB	20
57	10	415.037041935	RB	5
58	10	960.956418169	RB	10
59	10	929.596389723	RB	20
60	11	490.417383847	BB	5
61	11	1857.31073899	BB	10
62	11	1780.21678951	BB	20
63	11	544.81154427	RB	5
64	11	95.2984712521	RB	10
65	11	856.400832072	RB	20
66	12	1248.3126259	BB	5
67	12	743.247441132	BB	10
68	12	1511.7179801	BB	20
69	12	646.913583489	RB	5
70	12	472.631016531	RB	10
71	12	221.088334159	RB	20
72	13	750.097433136	BB	5
73	13	1026.15893002	BB	10
74	13	1986.32263899	BB	20
75	13	311.590872159	RB	5
76	13	305.909752307	RB	10
77	13	564.86745715	RB	20
78	14	1480.59113484	BB	5
79	14	1726.71145958	BB	10
80	14	1594.61042206	BB	20
81	14	843.367065785	RB	5
82	14	939.648288063	RB	10
83	14	287.260234615	RB	20
84	15	1132.91691444	BB	5
85	15	1316.96283021	BB	10
86	15	1270.43564178	BB	20
87	15	598.43137253	RB	5
88	15	937.711406575	RB	10
89	15	868.640934305	RB	20
90	16	912.045780131	BB	5
91	16	984.185098949	BB	10
92	16	1912.4970564	BB	20
93	16	998.338760912	RB	5
94	16	1042.64619711	RB	10
95	16	803.902529092	RB	20
96	17	641.819772315	BB	5
97	17	1100.84807573	BB	10
98	17	1398.71586106	BB	20
99	17	2.81205175805	RB	5
100	17	1156.03583557	RB	10
101	17	216.268821931	RB	20
102	18	723.372886675	BB	5
103	18	1641.9848558	BB	10
104	18	1524.88680286	BB	20
105	18	352.950294337	RB	5
106	18	436.038236778	RB	10
107	18	902.37739465	RB	20
108	19	1277.62078828	BB	5
109	19	946.390390686	BB	10
110	19	2032.74042743	BB	20
111	19	455.054991769	RB	5
112	19	116.506399216	RB	10
113	19	864.999252151	RB	20
114	20	1267.61537384	BB	5
115	20	1657.51449961	BB	10
116	20	1923.764603	BB	20
117	20	451.722986577	RB	5
118	20	272.300365079	RB	10
119	20	583.963812601	RB	20
